Time,Abundance
49.37195,96.14772
49.38208,94.14923
49.39222,97.33162
49.40235,97.19277
49.41248,92.80519
49.42262,93.56549
49.43275,95.67961
49.44288,103.6373
49.45302,112.6174
49.46315,121.5541
49.47328,146.0754
49.48342,171.9001
49.49355,200.3942
49.50368,244.7226
49.51382,261.9615
49.52395,272.917
49.53408,271.4055
49.54423,247.4511
49.55437,216.3332
49.5645,185.5685
49.57463,160.4533
49.58477,135.1958
49.5949,130.1773
49.60503,116.0592
49.61517,108.4587
49.6253,105.9352
49.63543,99.61022
49.64557,103.7602
49.6557,100.3993
49.66583,93.22147
49.67597,95.38718
49.6861,101.0058
49.69623,95.14461
49.70637,93.12829
49.7165,100.89
49.72663,96.69327
49.73677,96.01986
49.7469,95.0936
49.75705,95.59801
49.76718,95.2148
49.77732,98.22354
49.78745,96.78468
49.79758,101.6689
49.80772,106.069
49.81785,106.5101
49.82798,118.6374
49.83812,124.0948
49.84825,124.2628
49.85838,121.9119
49.86852,126.7089
49.87865,121.9183
49.88878,119.1021
49.89892,109.3437
49.90905,107.7526
49.91918,107.1101
49.92932,103.7884
49.93945,96.5312
49.94958,93.80678
49.95972,91.82296
49.96987,98.51782
49.98,94.05365
49.99013,97.1185
50.00027,90.87677
50.0104,94.07725
50.02053,96.78717
50.03067,96.05978
50.0408,97.89778
50.05093,100.5286
50.06107,101.5542
50.0712,90.23915
50.08133,89.99385
50.09147,93.27048
50.1016,93.0368
50.11173,90.64816
50.12187,92.75697
50.132,88.60011
50.14213,91.95283
50.15227,88.43446
50.1624,85.6391
50.17253,90.72536
50.18268,87.42792
50.19282,88.44559
50.20295,89.81376
50.21308,92.41888
50.22322,89.44887
50.23335,89.77475
50.24348,89.90457
50.25362,90.84106
50.26375,92.27252
50.27388,105.0361
50.28402,99.70428
50.29415,106.3104
50.30428,116.3873
50.31442,119.5544
50.32455,116.91
50.33468,125.4314
50.34482,129.4083
50.35495,139.1994
50.36508,156.9196
50.37522,169.8655
50.38535,204.8576
50.3955,246.0956
50.40563,292.7493
50.41577,316.1195
50.4259,351.0632
50.43603,363.7603
50.44617,359.5605
50.4563,345.05
50.46643,323.9836
